file_path,satd_count,satd_text,satd_age_days,satd_change_count
code/core/src/main/java/org/hibernate/cfg/ResultSetMappingBinder.java,8,"hack/workaround as sqlquery impl depend on having a key. | TODO: bindpropertyresults(alias, returnElem) | FIXME: get the PersistentClass | maybe a concrete SQLpropertyresult type, but Map is exactly what is required at the moment | TODO: validate existing of property with the chosen name. (secondpass ) | here puts everything under 'element' (which additionally has significant
meaning).  Probably what we need to do is to something like this instead: | }
}
}
but I am not clear enough on the intended purpose of this code block, especially
in relation to the \""Reorder properties\"" code block above...",6891,0
code/core/src/main/java/org/hibernate/collection/PersistentArrayHolder.java,1,"just to help out during the load (ugly, i know)",6891,0
code/core/src/main/java/org/hibernate/collection/PersistentBag.java,1,"it is *really* a set, since it can't contain the
same element twice. It could be considered a bug
in the mapping dtd that <bag> allows <one-to-many>.",6891,0
code/core/src/main/java/org/hibernate/collection/PersistentIdentifierBag.java,2,"TODO: native ids | TODO: if we are using identity columns, fetch the identifier",6891,0
code/core/src/main/java/org/hibernate/collection/PersistentMap.java,2,"would be better to use the element-type to determine | TODO : safe to interpret \""map.remove(key) == null\"" as non-dirty?",6891,0
code/core/src/main/java/org/hibernate/collection/PersistentSet.java,1,"note that it might be better to iterate the snapshot but this is safe,
assuming the user implements equals() properly, as required by the Set
contract!",6891,0
code/core/src/main/java/org/hibernate/criterion/BetweenExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/Example.java,3,"TODO: get all properties, not just the fetched ones! | yuck!",6891,0
code/core/src/main/java/org/hibernate/criterion/IdentifierEqExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/IlikeExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/NotNullExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/NullExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/PropertyExpression.java,1,TODO: get SQL rendering out of this package!,6891,0
code/core/src/main/java/org/hibernate/criterion/SizeExpression.java,1,TODO: handle property-ref,6891,0
code/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java,2,"aggregate functions shouldn't be registered, right? | Does the LIMIT clause take a \""maximum\"" row number instead of a total number of returned rows?",6891,0
code/core/src/main/java/org/hibernate/dialect/FrontBaseDialect.java,1,"TODO : not sure this is correct, could not find docs on how to do this.",6891,0
code/core/src/main/java/org/hibernate/dialect/function/CastFunction.java,1,"TODO: never reached, since getTypeName() actually throws an exception!",6891,0
code/core/src/main/java/org/hibernate/dialect/function/SQLFunctionRegistry.java,1,TODO: toLowerCase was not done before. Only used in Template.,6891,0
code/core/src/main/java/org/hibernate/dialect/lock/UpdateLockingStrategy.java,1,todo : should we additionally check the current isolation mode explicitly?,6891,0
code/core/src/main/java/org/hibernate/dialect/PostgreSQLDialect.java,2,TODO: RESTRICT VIOLATION | seems to not really...,6891,0
code/core/src/main/java/org/hibernate/dialect/RDMSOS2200Dialect.java,1,The where clause was added to eliminate this statement from Brute Force Searches.,6891,0
code/core/src/main/java/org/hibernate/engine/ActionQueue.java,1,"Actually the semantics of the next three are really \""Bag\""
Note that, unlike objects, collection insertions, updates,
deletions are not really remembered between flushes. We
just re-use the same List",6891,0
code/core/src/main/java/org/hibernate/engine/BatchFetchQueue.java,2,"this only works because collection entries are kept in a sequenced
map by persistence context (maybe we should do like entities and
keep a separate sequences set...)
TODO: calling entrySet on an Ident | TODO: this needn't exclude subclasses...",6891,0
code/core/src/main/java/org/hibernate/engine/Cascade.java,1,TODO: suck this logic into the collection!,6891,0
