file_path,complexity,cognitive_complexity,bugs,code_smells,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/AbstractEntitySourceImpl.java,58.0,19.0,0.0,2.0,5.0,2.0,0.0,403.0,A,A
hibernate-core/src/main/java/org/hibernate/event/spi/AbstractEvent.java,2.0,0.0,0.0,1.0,2.0,1.0,0.0,40.0,A,A
hibernate-core/src/main/java/org/hibernate/query/results/dynamic/AbstractFetchBuilderContainer.java,20.0,17.0,0.0,1.0,5.0,1.0,0.0,121.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/AbstractFetchParent.java,11.0,1.0,0.0,1.0,2.0,1.0,0.0,79.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/AbstractFetchParentAccess.java,7.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,A,A
hibernate-core/src/main/java/org/hibernate/property/access/internal/AbstractFieldSerialForm.java,3.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,A,A
tooling/metamodel-generator/src/main/java/org/hibernate/jpamodelgen/annotation/AbstractFinderMethod.java,25.0,17.0,0.0,3.0,12.0,3.0,0.0,192.0,A,A
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractFlushingEventListener.java,39.0,29.0,0.0,2.0,5.0,2.0,0.0,418.0,A,A
hibernate-core/src/main/java/org/hibernate/graph/internal/AbstractGraph.java,26.0,16.0,0.0,6.0,52.0,6.0,0.0,180.0,A,A
hibernate-core/src/main/java/org/hibernate/graph/internal/AbstractGraphNode.java,4.0,1.0,0.0,1.0,2.0,1.0,0.0,33.0,A,A
hibernate-core/src/main/java/org/hibernate/dialect/AbstractHANADialect.java,297.0,150.0,1.0,14.0,85.0,15.0,0.0,1847.0,B,A
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/AbstractHbmSourceNode.java,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/model/domain/AbstractIdentifiableType.java,76.0,54.0,0.0,7.0,29.0,7.0,0.0,465.0,A,A
hibernate-envers/src/main/java/org/hibernate/envers/boot/model/AbstractIdentifier.java,4.0,0.0,0.0,1.0,2.0,1.0,0.0,43.0,A,A
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/id/AbstractIdMapper.java,27.0,24.0,0.0,1.0,2.0,1.0,0.0,192.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/collection/internal/AbstractImmediateCollectionInitializer.java,37.0,57.0,0.0,3.0,45.0,3.0,0.0,320.0,A,A
hibernate-core/src/main/java/org/hibernate/tool/schema/extract/internal/AbstractInformationExtractorImpl.java,157.0,211.0,0.0,17.0,100.0,17.0,0.0,1415.0,A,A
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/interceptor/AbstractInterceptor.java,28.0,4.0,0.0,1.0,2.0,1.0,0.0,160.0,A,A
local-build-plugins/src/main/java/org/hibernate/orm/post/AbstractJandexAwareTask.java,28.0,28.0,0.0,11.0,159.0,11.0,0.0,188.0,A,A
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/AbstractJavaType.java,12.0,2.0,0.0,2.0,60.0,2.0,0.0,100.0,A,A
hibernate-core/src/main/java/org/hibernate/type/descriptor/jdbc/spi/AbstractJdbcLiteralFormatter.java,2.0,0.0,0.0,1.0,2.0,1.0,0.0,28.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/model/jdbc/AbstractJdbcMutation.java,12.0,5.0,0.0,1.0,2.0,1.0,0.0,102.0,A,A
