file_path,complexity,bugs,code_smells,cognitive_complexity,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
lib/sqlalchemy/dialects/postgresql/pg_catalog.py,3.0,0.0,3.0,1.0,15.0,3.0,0.0,301.0,A,A
lib/sqlalchemy/testing/pickleable.py,25.0,0.0,3.0,3.0,10.0,3.0,0.0,156.0,A,A
lib/sqlalchemy/ext/mypy/plugin.py,41.0,0.0,2.0,37.0,12.0,2.0,0.0,304.0,A,A
lib/sqlalchemy/testing/plugin/plugin_base.py,112.0,1.0,8.0,113.0,79.0,9.0,0.0,780.0,E,A
lib/sqlalchemy/util/preloaded.py,9.0,0.0,0.0,9.0,0.0,0.0,0.0,151.0,A,A
lib/sqlalchemy/engine/processors.py,3.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,A,A
lib/sqlalchemy/testing/profiling.py,48.0,0.0,7.0,52.0,35.0,7.0,0.0,325.0,A,A
lib/sqlalchemy/orm/properties.py,117.0,0.0,1.0,127.0,57.0,1.0,0.0,887.0,A,A
lib/sqlalchemy/dialects/sqlite/provision.py,33.0,0.0,7.0,37.0,26.0,7.0,0.0,199.0,A,A
lib/sqlalchemy/dialects/mssql/provision.py,22.0,0.0,0.0,20.0,0.0,0.0,0.0,163.0,A,A
lib/sqlalchemy/dialects/postgresql/provision.py,19.0,0.0,1.0,21.0,5.0,1.0,0.0,176.0,A,A
lib/sqlalchemy/dialects/mysql/provision.py,10.0,0.0,0.0,9.0,0.0,0.0,0.0,111.0,A,A
lib/sqlalchemy/dialects/oracle/provision.py,32.0,0.0,2.0,31.0,16.0,2.0,0.0,221.0,A,A
lib/sqlalchemy/testing/provision.py,73.0,0.0,4.0,71.0,20.0,4.0,0.0,497.0,A,A
lib/sqlalchemy/dialects/postgresql/psycopg.py,123.0,0.0,15.0,66.0,60.0,18.0,3.0,777.0,A,E
lib/sqlalchemy/dialects/postgresql/psycopg2.py,67.0,0.0,4.0,51.0,17.0,9.0,5.0,887.0,A,E
lib/sqlalchemy/dialects/postgresql/psycopg2cffi.py,3.0,0.0,1.0,0.0,5.0,1.0,0.0,62.0,A,A
lib/sqlalchemy/dialects/mssql/pymssql.py,18.0,0.0,5.0,16.0,20.0,5.0,0.0,127.0,A,A
lib/sqlalchemy/dialects/mysql/pymysql.py,14.0,0.0,2.0,16.0,7.0,3.0,1.0,138.0,A,E
lib/sqlalchemy/dialects/mssql/pyodbc.py,65.0,0.0,15.0,73.0,69.0,16.0,1.0,746.0,A,E
lib/sqlalchemy/dialects/mysql/pyodbc.py,11.0,0.0,4.0,6.0,14.0,4.0,0.0,139.0,A,A
lib/sqlalchemy/connectors/pyodbc.py,40.0,0.0,1.0,52.0,26.0,1.0,0.0,250.0,A,A
lib/sqlalchemy/dialects/sqlite/pysqlcipher.py,9.0,0.0,1.0,10.0,5.0,1.0,0.0,156.0,A,A
lib/sqlalchemy/dialects/sqlite/pysqlite.py,59.0,0.0,7.0,46.0,36.0,7.0,0.0,757.0,A,A
lib/sqlalchemy/testing/plugin/pytestplugin.py,148.0,0.0,8.0,201.0,97.0,8.0,0.0,869.0,A,A
